test	location	operator	alfa	nodeType	precision	station	class	measureType	orig_analyzedSamples	orig_discardedSamples	orig_lowerLimit	orig_maxSamples	orig_meanValue	orig_successful	orig_upperLimit	mut_analyzedSamples	mut_discardedSamples	mut_lowerLimit	mut_maxSamples	mut_meanValue	mut_successful	mut_upperLimit	timeoutMut
edge-0.5-double	Edge node	ChangeQueueSize	0.01		0.03		Cloud	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	61440.0	1865	0.002853594331403442	1000000	0.002891308271763027	true	0.002930032440612409	false
edge-0.5-double	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	51200.0	375	0.010903755396679699	1000000	0.011118493300829353	true	0.011341859194878137	false
edge-0.5-double	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	46080.0	655	0.008082384778116174	1000000	0.00828604878059684	true	0.00850024216394723	false
edge-0.5-double	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	61440.0	1865	0.002853594331403442	1000000	0.002891308271763027	true	0.002930032440612409	false
edge-0.5-double	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01		0.03			System Response Time	40960.0	65	0.8325063724609085	1000000	0.8549864008203717	true	0.8774664291798349	40960.0	65	0.8325063724609085	1000000	0.8549864008203717	true	0.8774664291798349	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01		0.03		Edge	System Response Time	61440.0	205	0.4901848114866238	1000000	0.4988576172787213	true	0.5075304230708189	61440.0	205	0.49034332452177465	1000000	0.4988810544313746	true	0.5074187843409745	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01		0.03		Cloud	System Response Time	61440.0	125	1.3771368777023556	1000000	1.394503716313319	true	1.4118705549242823	61440.0	125	1.3771091683668781	1000000	1.3945316695007064	true	1.4119541706345347	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node		Utilization	102400.0	1505	0.02606353394861463	1000000	0.026752257657061268	true	0.027440981365507905	102400.0	1505	0.02606353394861463	1000000	0.026752257657061268	true	0.027440981365507905	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node	Edge	Utilization	66560.0	505	0.024129473028175374	1000000	0.024829147346721654	true	0.025528821665267935	66560.0	505	0.024129473028175374	1000000	0.024829147346721654	true	0.025528821665267935	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node	Cloud	Utilization	40960.0	0	0.0019361037388463914	1000000	0.001986060042469239	true	0.0020360163460920867	40960.0	0	0.0019361037388463914	1000000	0.001986060042469239	true	0.0020360163460920867	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server		Utilization	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server	Edge	Utilization	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server	Cloud	Utilization	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	2.0	0	0.0	1000000	7.619682560238247E-6	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01		0.03		Edge	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	1.0	0	0.0	1000000	7.689205885441103E-6	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01		0.03		Cloud	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	2.0	0	0.0	1000000	7.619682560238247E-6	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	1.0	0	0.0	1000000	7.689205885441103E-6	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Edge node	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSize	0.01	station	0.03	Cloud server	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSize	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	true
edge-0.5-double	Cloud server	ChangeQueueSize	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	true
edge-0.5-half	Cloud server	ChangeQueueSize	0.01		0.03			System Response Time	40960.0	65	0.8325063724609085	1000000	0.8549864008203717	true	0.8774664291798349	40960.0	65	0.8325063724609085	1000000	0.8549864008203717	true	0.8774664291798349	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01		0.03		Edge	System Response Time	61440.0	205	0.4901848114866238	1000000	0.4988576172787213	true	0.5075304230708189	61440.0	205	0.4901848114866238	1000000	0.4988576172787213	true	0.5075304230708189	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01		0.03		Cloud	System Response Time	61440.0	125	1.3771368777023556	1000000	1.394503716313319	true	1.4118705549242823	61440.0	125	1.3771368777023556	1000000	1.394503716313319	true	1.4118705549242823	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node		Utilization	102400.0	1505	0.02606353394861463	1000000	0.026752257657061268	true	0.027440981365507905	102400.0	1505	0.02606353394861463	1000000	0.026752257657061268	true	0.027440981365507905	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node	Edge	Utilization	66560.0	505	0.024129473028175374	1000000	0.024829147346721654	true	0.025528821665267935	66560.0	505	0.024129473028175374	1000000	0.024829147346721654	true	0.025528821665267935	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node	Cloud	Utilization	40960.0	0	0.0019361037388463914	1000000	0.001986060042469239	true	0.0020360163460920867	40960.0	0	0.0019361037388463914	1000000	0.001986060042469239	true	0.0020360163460920867	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server		Utilization	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server	Edge	Utilization	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server	Cloud	Utilization	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01		0.03		Edge	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01		0.03		Cloud	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01		0.03			System Response Time	61440.0	960	0.8518824589127532	1000000	0.8646294578572179	true	0.8773764568016826	61440.0	960	0.8518824589127532	1000000	0.8646294578572179	true	0.8773764568016826	false
edge-0.5	Cloud server	ChangeQueueSize	0.01		0.03		Edge	System Response Time	61440.0	150	0.489471153856601	1000000	0.49751952567962643	true	0.5055678975026519	61440.0	150	0.489471153856601	1000000	0.49751952567962643	true	0.5055678975026519	false
edge-0.5	Cloud server	ChangeQueueSize	0.01		0.03		Cloud	System Response Time	61440.0	335	1.3761458843605874	1000000	1.3982718625451127	true	1.420397840729638	61440.0	335	1.3761458843605874	1000000	1.3982718625451127	true	1.420397840729638	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node		Utilization	112640.0	155	0.052799945219376046	1000000	0.05413034738400547	true	0.05546074954863489	112640.0	155	0.052799945219376046	1000000	0.05413034738400547	true	0.05546074954863489	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node	Edge	Utilization	61440.0	240	0.04889523356260418	1000000	0.050270779694013765	true	0.05164632582542335	61440.0	240	0.04889523356260418	1000000	0.050270779694013765	true	0.05164632582542335	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node	Cloud	Utilization	40960.0	0	0.003940836585430489	1000000	0.0040447256908197225	true	0.004148614796208956	40960.0	0	0.003940836585430489	1000000	0.0040447256908197225	true	0.004148614796208956	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server		Utilization	112640.0	840	0.030937268111465726	1000000	0.031761404835875535	true	0.03258554156028535	112640.0	840	0.030937268111465726	1000000	0.031761404835875535	true	0.03258554156028535	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server	Edge	Utilization	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server	Cloud	Utilization	112640.0	840	0.030937268111465726	1000000	0.031761404835875535	true	0.03258554156028535	112640.0	840	0.030937268111465726	1000000	0.031761404835875535	true	0.03258554156028535	false
edge-0.5	Cloud server	ChangeQueueSize	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01		0.03		Edge	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01		0.03		Cloud	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Edge node	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Cloud server	ChangeQueueSize	0.01	station	0.03	Cloud server	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01		0.03			System Response Time	40960.0	145	0.8434413077829024	1000000	0.8564538303786575	true	0.8694663529744127	40960.0	145	0.8434413077829024	1000000	0.8564538303786575	true	0.8694663529744127	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01		0.03		Edge	System Response Time	51200.0	355	0.4905843476847827	1000000	0.4994402535022218	true	0.5082961593196609	51200.0	355	0.4905843476847827	1000000	0.4994402535022218	true	0.5082961593196609	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01		0.03		Cloud	System Response Time	35840.0	495	1.375230133905921	1000000	1.396903526092727	true	1.418576918279533	35840.0	495	1.375230133905921	1000000	1.396903526092727	true	1.418576918279533	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node		Utilization	102400.0	350	0.1046858915325319	1000000	0.10730020943382804	true	0.10991452733512418	102400.0	350	0.1046858915325319	1000000	0.10730020943382804	true	0.10991452733512418	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Edge	Utilization	102000.0	400	0.09709193346547322	1000000	0.09927657127603602	true	0.10146120908659882	102000.0	400	0.09709193346547322	1000000	0.09927657127603602	true	0.10146120908659882	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Cloud	Utilization	40960.0	10	0.007749755763675774	1000000	0.007953896602210032	true	0.00815803744074429	40960.0	10	0.007749755763675774	1000000	0.007953896602210032	true	0.00815803744074429	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server		Utilization	71680.0	1105	0.06237964311759292	1000000	0.06391811854787458	true	0.06545659397815623	71680.0	1105	0.06237964311759292	1000000	0.06391811854787458	true	0.06545659397815623	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Edge	Utilization	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Cloud	Utilization	71680.0	1105	0.06237964311759292	1000000	0.06391811854787458	true	0.06545659397815623	71680.0	1105	0.06237964311759292	1000000	0.06391811854787458	true	0.06545659397815623	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01		0.03		Edge	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01		0.03		Cloud	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01		0.03			System Response Time	40960.0	65	0.8325063724609085	1000000	0.8549864008203717	true	0.8774664291798349	40960.0	65	0.8325063724609085	1000000	0.8549864008203717	true	0.8774664291798349	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01		0.03		Edge	System Response Time	61440.0	205	0.4901848114866238	1000000	0.4988576172787213	true	0.5075304230708189	61440.0	205	0.4901848114866238	1000000	0.4988576172787213	true	0.5075304230708189	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01		0.03		Cloud	System Response Time	61440.0	125	1.3771368777023556	1000000	1.394503716313319	true	1.4118705549242823	61440.0	125	1.3771368777023556	1000000	1.394503716313319	true	1.4118705549242823	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node		Utilization	102400.0	1505	0.02606353394861463	1000000	0.026752257657061268	true	0.027440981365507905	102400.0	1505	0.02606353394861463	1000000	0.026752257657061268	true	0.027440981365507905	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Edge	Utilization	66560.0	505	0.024129473028175374	1000000	0.024829147346721654	true	0.025528821665267935	66560.0	505	0.024129473028175374	1000000	0.024829147346721654	true	0.025528821665267935	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Cloud	Utilization	40960.0	0	0.0019361037388463914	1000000	0.001986060042469239	true	0.0020360163460920867	40960.0	0	0.0019361037388463914	1000000	0.001986060042469239	true	0.0020360163460920867	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server		Utilization	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Edge	Utilization	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Cloud	Utilization	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	40960.0	55	0.015446686665804035	1000000	0.015890622788737402	true	0.01633455891167077	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01		0.03		Edge	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01		0.03		Cloud	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-half	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01		0.03			System Response Time	61440.0	960	0.8518824589127532	1000000	0.8646294578572179	true	0.8773764568016826	61440.0	960	0.8518824589127532	1000000	0.8646294578572179	true	0.8773764568016826	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01		0.03		Edge	System Response Time	61440.0	150	0.489471153856601	1000000	0.49751952567962643	true	0.5055678975026519	61440.0	150	0.489471153856601	1000000	0.49751952567962643	true	0.5055678975026519	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01		0.03		Cloud	System Response Time	61440.0	335	1.3761458843605874	1000000	1.3982718625451127	true	1.420397840729638	61440.0	335	1.3761458843605874	1000000	1.3982718625451127	true	1.420397840729638	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node		Utilization	112640.0	155	0.052799945219376046	1000000	0.05413034738400547	true	0.05546074954863489	112640.0	155	0.052799945219376046	1000000	0.05413034738400547	true	0.05546074954863489	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Edge	Utilization	61440.0	240	0.04889523356260418	1000000	0.050270779694013765	true	0.05164632582542335	61440.0	240	0.04889523356260418	1000000	0.050270779694013765	true	0.05164632582542335	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Cloud	Utilization	40960.0	0	0.003940836585430489	1000000	0.0040447256908197225	true	0.004148614796208956	40960.0	0	0.003940836585430489	1000000	0.0040447256908197225	true	0.004148614796208956	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server		Utilization	112640.0	840	0.030937268111465726	1000000	0.031761404835875535	true	0.03258554156028535	112640.0	840	0.030937268111465726	1000000	0.031761404835875535	true	0.03258554156028535	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Edge	Utilization	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Cloud	Utilization	112640.0	840	0.030937268111465726	1000000	0.031761404835875535	true	0.03258554156028535	112640.0	840	0.030937268111465726	1000000	0.031761404835875535	true	0.03258554156028535	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01		0.03		Edge	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01		0.03		Cloud	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Edge	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5	Edge node	ChangeQueueSizeM1	0.01	station	0.03	Cloud server	Cloud	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
edge-0.5-double	Cloud server	ChangeQueueSizeM1	0.01		0.03			System Response Time	40960.0	145	0.8434413077829024	1000000	0.8564538303786575	true	0.8694663529744127	40960.0	145	0.8434413077829024	1000000	0.8564538303786575	true	0.8694663529744127	false
edge-0.5-double	Cloud server	ChangeQueueSizeM1	0.01		0.03		Edge	System Response Time	51200.0	355	0.4905843476847827	1000000	0.4994402535022218	true	0.5082961593196609	51200.0	355	0.4905843476847827	1000000	0.4994402535022218	true	0.5082961593196609	false
edge-0.5-double	Cloud server	ChangeQueueSizeM1	0.01		0.03		Cloud	System Response Time	35840.0	495	1.375230133905921	1000000	1.396903526092727	true	1.418576918279533	35840.0	495	1.375230133905921	1000000	1.396903526092727	true	1.418576918279533	false
edge-0.5-double	Cloud server	ChangeQueueSizeM1	0.01	station	0.03	Edge node		Utilization	102400.0	350	0.1046858915325319	1000000	0.10730020943382804	true	0.10991452733512418	102400.0	350	0.1046858915325319	1000000	0.10730020943382804	true	0.10991452733512418	false
edge-0.5-double	Cloud server	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Edge	Utilization	102000.0	400	0.09709193346547322	1000000	0.09927657127603602	true	0.10146120908659882	102000.0	400	0.09709193346547322	1000000	0.09927657127603602	true	0.10146120908659882	false
edge-0.5-double	Cloud server	ChangeQueueSizeM1	0.01	station	0.03	Edge node	Cloud	Utilization	40960.0	10	0.007749755763675774	1000000	0.007953896602210032	true	0.00815803744074429	40960.0	10	0.007749755763675774	1000000	0.007953896602210032	true	0.00815803744074429	false
